City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Dingle,PH,10.9995,122.6711,77.14,82,32,9.95,scattered clouds
310,Tilichiki,RU,60.4667,166.1,0.19,96,83,3.83,broken clouds
311,Malatya,TR,38.5,38.0,26.65,93,0,1.14,clear sky
312,Larsnes,NO,62.2028,5.5773,37.0,79,100,6.78,overcast clouds
313,Chernyshevskiy,RU,63.0128,112.4714,-37.89,100,19,3.04,few clouds
314,Yako,BF,12.9667,-2.2667,74.48,13,2,8.41,clear sky
315,West Wendover,US,40.7391,-114.0733,49.32,32,84,6.02,broken clouds
316,Yuncheng,CN,35.0231,110.9928,38.25,52,2,4.94,clear sky
317,Izumo,JP,35.3667,132.7667,35.55,93,20,9.22,few clouds
318,Zilair,RU,52.2332,57.4392,27.14,97,100,7.2,snow
319,Asosa,ET,10.0667,34.5333,65.01,36,3,4.45,clear sky
320,Gallup,US,35.5281,-108.7426,53.02,30,2,1.01,clear sky
321,Kamaishi,JP,39.2667,141.8833,31.15,69,7,8.05,clear sky
322,Fernandopolis,BR,-20.2839,-50.2464,77.74,63,81,4.27,broken clouds
323,Pozo Colorado,PY,-23.4923,-58.7972,86.95,42,45,4.74,scattered clouds
324,Vestmannaeyjar,IS,63.4427,-20.2734,44.22,69,100,21.85,overcast clouds
325,Luderitz,NA,-26.6481,15.1594,60.51,86,0,9.57,clear sky
326,Oyama,JP,36.3,139.8,48.04,53,100,4.56,overcast clouds
327,Hay River,CA,60.8156,-115.7999,-16.62,76,1,4.61,clear sky
328,Shelburne,CA,44.0787,-80.2041,30.09,96,100,19.55,light snow
329,Muisne,EC,0.6,-80.0333,74.66,85,99,9.17,overcast clouds
330,Arcata,US,40.8665,-124.0828,53.58,79,76,1.99,broken clouds
331,Airai,TL,-8.9266,125.4092,68.88,77,97,1.01,overcast clouds
332,Klaksvik,FO,62.2266,-6.589,38.32,63,73,19.77,broken clouds
333,Schaffhausen,CH,47.6973,8.6349,36.09,96,90,1.01,overcast clouds
334,Nantucket,US,41.2835,-70.0995,43.02,61,1,0.0,clear sky
335,Yaring,TH,6.8662,101.3689,75.29,76,75,4.56,broken clouds
